Scraping Glottolog extinction status...
CSV File: languoid.csv
Cache File: extinction_cache.json
Base URL: https://glottolog.org/resource/languoid/id

Loaded cache with 0 existing entries
Total unique languoid IDs: 27034
Need to fetch: 27034

Starting scrape...
Note: This will take ~225.3 minutes with rate limiting

  [12800/27034] Extinct: 588, Active: 3514, Unknown: 8698
  [12900/27034] Extinct: 596, Active: 3535, Unknown: 8769
  [13000/27034] Extinct: 603, Active: 3565, Unknown: 8832
  [13100/27034] Extinct: 609, Active: 3591, Unknown: 8900
  [13200/27034] Extinct: 612, Active: 3625, Unknown: 8963
  [13300/27034] Extinct: 616, Active: 3665, Unknown: 9019
  [13400/27034] Extinct: 621, Active: 3697, Unknown: 9082
  [13500/27034] Extinct: 629, Active: 3728, Unknown: 9143
  [13600/27034] Extinct: 630, Active: 3757, Unknown: 9213
  [13700/27034] Extinct: 637, Active: 3790, Unknown: 9273
  [13800/27034] Extinct: 644, Active: 3817, Unknown: 9339
  [13900/27034] Extinct: 649, Active: 3842, Unknown: 9409
  [14000/27034] Extinct: 662, Active: 3871, Unknown: 9467
  [14100/27034] Extinct: 666, Active: 3897, Unknown: 9537
  [14200/27034] Extinct: 669, Active: 3930, Unknown: 9601
  [14300/27034] Extinct: 673, Active: 3961, Unknown: 9666
  [14400/27034] Extinct: 683, Active: 3983, Unknown: 9734
  [14500/27034] Extinct: 689, Active: 4004, Unknown: 9807
  [14600/27034] Extinct: 695, Active: 4033, Unknown: 9872
  [14700/27034] Extinct: 701, Active: 4059, Unknown: 9940
  [14800/27034] Extinct: 705, Active: 4092, Unknown: 10003
  [14900/27034] Extinct: 709, Active: 4127, Unknown: 10064
  [15000/27034] Extinct: 713, Active: 4158, Unknown: 10129
  [15100/27034] Extinct: 716, Active: 4192, Unknown: 10192
  [15200/27034] Extinct: 720, Active: 4218, Unknown: 10262
  [15300/27034] Extinct: 723, Active: 4247, Unknown: 10330
  [15400/27034] Extinct: 726, Active: 4271, Unknown: 10403
  [15500/27034] Extinct: 730, Active: 4301, Unknown: 10469
  [15600/27034] Extinct: 739, Active: 4341, Unknown: 10520
  [15700/27034] Extinct: 741, Active: 4375, Unknown: 10584
  [15800/27034] Extinct: 749, Active: 4403, Unknown: 10648
  [15900/27034] Extinct: 760, Active: 4435, Unknown: 10705
  [16000/27034] Extinct: 762, Active: 4463, Unknown: 10775
  [16100/27034] Extinct: 770, Active: 4490, Unknown: 10840
  [16200/27034] Extinct: 772, Active: 4517, Unknown: 10911
  [16300/27034] Extinct: 776, Active: 4545, Unknown: 10979
  [16400/27034] Extinct: 780, Active: 4563, Unknown: 11057
  [16500/27034] Extinct: 782, Active: 4590, Unknown: 11128
  [16600/27034] Extinct: 783, Active: 4611, Unknown: 11206
  [16700/27034] Extinct: 790, Active: 4643, Unknown: 11267
  [16800/27034] Extinct: 790, Active: 4644, Unknown: 11366
  [16900/27034] Extinct: 790, Active: 4650, Unknown: 11460
  [17000/27034] Extinct: 792, Active: 4660, Unknown: 11548
  [17100/27034] Extinct: 794, Active: 4674, Unknown: 11632
  [17200/27034] Extinct: 794, Active: 4683, Unknown: 11723
  [17300/27034] Extinct: 794, Active: 4686, Unknown: 11820
  [17400/27034] Extinct: 796, Active: 4697, Unknown: 11907
  [17500/27034] Extinct: 797, Active: 4704, Unknown: 11999
  [17600/27034] Extinct: 801, Active: 4723, Unknown: 12076
  [17700/27034] Extinct: 803, Active: 4751, Unknown: 12146
  [17800/27034] Extinct: 806, Active: 4780, Unknown: 12214
  [17900/27034] Extinct: 810, Active: 4805, Unknown: 12285
  [18000/27034] Extinct: 836, Active: 4818, Unknown: 12346
  [18100/27034] Extinct: 857, Active: 4838, Unknown: 12405
  [18200/27034] Extinct: 860, Active: 4872, Unknown: 12468
  [18300/27034] Extinct: 867, Active: 4886, Unknown: 12547
  [18400/27034] Extinct: 874, Active: 4914, Unknown: 12612
  [18500/27034] Extinct: 886, Active: 4936, Unknown: 12678
  [18600/27034] Extinct: 891, Active: 4966, Unknown: 12743
  [18700/27034] Extinct: 896, Active: 4999, Unknown: 12805
  [18800/27034] Extinct: 908, Active: 5027, Unknown: 12865
  [18900/27034] Extinct: 913, Active: 5046, Unknown: 12941
  [19000/27034] Extinct: 923, Active: 5082, Unknown: 12995
  [19100/27034] Extinct: 936, Active: 5110, Unknown: 13054
  [19200/27034] Extinct: 942, Active: 5137, Unknown: 13121
  [19300/27034] Extinct: 948, Active: 5155, Unknown: 13197
  [19400/27034] Extinct: 956, Active: 5187, Unknown: 13257
  [19500/27034] Extinct: 960, Active: 5210, Unknown: 13330
  [19600/27034] Extinct: 968, Active: 5233, Unknown: 13399
  [19700/27034] Extinct: 970, Active: 5261, Unknown: 13469
  [19800/27034] Extinct: 975, Active: 5292, Unknown: 13533
  [19900/27034] Extinct: 977, Active: 5316, Unknown: 13607
  [20000/27034] Extinct: 980, Active: 5347, Unknown: 13673
  [20100/27034] Extinct: 985, Active: 5375, Unknown: 13740
  [20200/27034] Extinct: 992, Active: 5403, Unknown: 13805
  [20300/27034] Extinct: 994, Active: 5431, Unknown: 13875
  [20400/27034] Extinct: 995, Active: 5460, Unknown: 13945
  [20500/27034] Extinct: 1002, Active: 5486, Unknown: 14012
  [20600/27034] Extinct: 1005, Active: 5516, Unknown: 14079
  [20700/27034] Extinct: 1007, Active: 5549, Unknown: 14144
  [20800/27034] Extinct: 1011, Active: 5584, Unknown: 14205
  [20900/27034] Extinct: 1017, Active: 5610, Unknown: 14273
  [21000/27034] Extinct: 1020, Active: 5641, Unknown: 14339
  [21100/27034] Extinct: 1021, Active: 5662, Unknown: 14417
  [21200/27034] Extinct: 1024, Active: 5697, Unknown: 14479
  [21300/27034] Extinct: 1026, Active: 5725, Unknown: 14549
